Date,AAPL,AMD,JNJ,KO,MSFT,NVDA,PG,TSLA,WMT,^GSPC
2011-02-01,10.34781265258789,8.220000267028809,39.22421646118164,19.879465103149414,21.353601455688477,0.56087327003479,40.77674865722656,1.593999981880188,13.771995544433594,1307.5899658203125
2011-02-02,10.326516151428223,8.289999961853027,39.21773147583008,19.819562911987305,21.315458297729492,0.5863156914710999,40.69249725341797,1.5959999561309814,13.657087326049805,1304.030029296875
2011-02-03,10.300126075744629,8.329999923706055,39.334197998046875,19.728124618530273,21.09421730041504,0.5753134489059448,40.76378631591797,1.5753329992294312,13.67175006866455,1307.0999755859375
2011-02-04,10.39189338684082,8.399999618530273,39.36005783081055,19.7249755859375,21.185758590698242,0.5883783102035522,41.22391891479492,1.5640000104904175,13.69864559173584,1310.8699951171875
2011-02-07,10.553250312805176,8.329999923706055,39.37946701049805,19.712358474731445,21.513813018798828,0.5638532042503357,41.83311080932617,1.5379999876022339,13.708423614501953,1319.050048828125
2011-02-08,10.652820587158203,8.239999771118164,39.42476272583008,19.822721481323242,21.57484245300293,0.5471208095550537,41.89142608642578,1.6326669454574585,13.78421401977539,1324.5699462890625
2011-02-09,10.741591453552246,8.229999542236328,39.385963439941406,19.91100311279297,21.338340759277344,0.5338268280029297,41.72941207885742,1.547333002090454,13.869790077209473,1320.8800048828125
2011-02-10,10.633028030395508,8.220000267028809,39.418296813964844,20.033960342407227,20.97978401184082,0.5230540633201599,41.8525505065918,1.5479999780654907,13.59106731414795,1321.8699951171875
2011-02-11,10.70230484008789,8.279999732971191,39.26948547363281,20.043426513671875,20.789052963256836,0.5379527807235718,41.94976043701172,1.5499999523162842,13.615517616271973,1329.1500244140625
2011-02-14,10.77218246459961,8.630000114440918,39.26948547363281,19.907846450805664,20.77379608154297,0.5297012329101562,41.826622009277344,1.5386669635772705,13.397923469543457,1332.3199462890625
2011-02-15,10.793773651123047,8.600000381469727,39.21773147583008,19.923608779907227,20.689382553100586,0.5168653726577759,41.42481231689453,1.5226670503616333,13.434601783752441,1328.010009765625
2011-02-16,10.89064884185791,8.989999771118164,39.1530647277832,19.989822387695312,20.735431671142578,0.5358898043632507,41.32112121582031,1.6486669778823853,13.336804389953613,1336.3199462890625
2011-02-17,10.745789527893066,9.4399995803833,39.32772445678711,20.3524112701416,20.881235122680664,0.5886077284812927,41.476661682128906,1.5733330249786377,13.385700225830078,1340.4300537109375
2011-02-18,10.51365852355957,9.180000305175781,39.53474426269531,20.3524112701416,20.76612663269043,0.5874616503715515,41.67109680175781,1.5453330278396606,13.539728164672852,1343.010009765625
2011-02-22,10.155266761779785,8.850000381469727,39.237144470214844,20.103330612182617,20.40544319152832,0.5319929718971252,41.52201843261719,1.4579999446868896,13.121657371520996,1315.43994140625
2011-02-23,10.275532722473145,8.550000190734863,39.06893539428711,20.150619506835938,20.40544319152832,0.5067802667617798,41.573890686035156,1.4553329944610596,12.965179443359375,1307.4000244140625
2011-02-24,10.283329010009766,9.100000381469727,38.97836685180664,20.141162872314453,20.543577194213867,0.5191574692726135,40.86098861694336,1.5019999742507935,12.735359191894531,1306.0999755859375
2011-02-25,10.441681861877441,9.289999961853027,38.93265914916992,20.2767391204834,20.374740600585938,0.5299305319786072,40.72491455078125,1.5740000009536743,12.652237892150879,1319.8800048828125
2011-02-28,10.593133926391602,9.210000038146973,40.10770797729492,20.153778076171875,20.39776039123535,0.5193867087364197,40.86098861694336,1.5926669836044312,12.70846939086914,1327.219970703125
2011-03-01,10.47617244720459,9.029999732971191,39.624637603759766,20.46592140197754,20.075450897216797,0.49623650312423706,40.660091400146484,1.5959999561309814,12.730474472045898,1306.3299560546875
2011-03-02,10.560444831848145,9.170000076293945,39.69644546508789,20.314577102661133,20.014060974121094,0.47560781240463257,40.44623565673828,1.6013330221176147,12.706027030944824,1308.43994140625
2011-03-03,10.783577919006348,9.279999732971191,39.853111267089844,20.674015045166016,20.10615348815918,0.47835835814476013,40.536964416503906,1.6239999532699585,12.715798377990723,1330.969970703125
2011-03-04,10.79677677154541,9.229999542236328,39.85962677001953,20.560508728027344,19.914302825927734,0.4758371412754059,40.199954986572266,1.6633330583572388,12.730474472045898,1321.1500244140625
2011-03-07,10.657613754272461,8.84000015258789,39.428794860839844,20.563663482666016,19.737794876098633,0.4691900908946991,39.992584228515625,1.6626670360565186,12.718245506286621,1310.1300048828125
2011-03-08,10.669611930847168,8.989999771118164,39.631160736083984,20.696081161499023,19.883607864379883,0.448102742433548,40.21292495727539,1.6440000534057617,12.820934295654297,1321.8199462890625
2011-03-09,10.570941925048828,8.670000076293945,39.428794860839844,20.689783096313477,19.868257522583008,0.4387053847312927,40.180519104003906,1.6480000019073486,12.96742057800293,1320.02001953125
2011-03-10,10.396991729736328,8.420000076293945,38.91307830810547,20.585731506347656,19.499895095825195,0.4107418358325958,39.850006103515625,1.6006669998168945,12.962499618530273,1295.1099853515625
2011-03-11,10.556547164916992,8.649999618530273,38.96530532836914,20.58255958557129,19.707096099853516,0.4137214720249176,39.850006103515625,1.6046669483184814,12.94772720336914,1304.280029296875
2011-03-14,10.60363483428955,8.430000305175781,38.599761962890625,20.306257247924805,19.714778900146484,0.41715970635414124,39.75927734375,1.5499999523162842,12.881255149841309,1296.3900146484375
2011-03-15,10.359808921813965,8.279999732971191,38.17543411254883,20.017261505126953,19.484554290771484,0.40478235483169556,39.31210708618164,1.5299999713897705,12.817242622375488,1281.8699951171875
