Date,AAPL,KO,MSFT,NVDA,WMT,^GSPC
2020-11-25,112.94966888427734,45.50130081176758,205.2167510986328,13.194470405578613,47.208946228027344,3629.64990234375
2020-11-27,113.49478912353516,45.30356979370117,206.52171325683594,13.220891952514648,47.13743209838867,3638.35009765625
2020-11-30,115.88951873779297,44.70576095581055,205.40870666503906,13.360716819763184,47.50743865966797,3621.6298828125
2020-12-01,119.46206665039062,45.08698654174805,207.46209716796875,13.349250793457031,47.46079635620117,3662.449951171875
2020-12-02,119.81250762939453,45.14762878417969,206.65606689453125,13.503278732299805,46.8016242980957,3669.010009765625
2020-12-03,119.67620086669922,45.728111267089844,205.57177734375,13.359174728393555,46.42228317260742,3666.719970703125
2020-12-04,119.00453186035156,46.65514373779297,205.68692016601562,13.52098274230957,46.3010139465332,3699.1201171875
2020-12-07,120.4647216796875,45.91004943847656,205.6197967529297,13.569347381591797,46.052276611328125,3691.9599609375
2020-12-08,121.07799530029297,46.07466506958008,207.2701873779297,13.313305854797363,46.468929290771484,3702.25
2020-12-09,118.5470199584961,46.204620361328125,203.2305145263672,12.895206451416016,46.10202407836914,3672.820068359375
2020-12-10,119.96826171875,45.96202850341797,202.00230407714844,12.936590194702148,45.88668441772461,3668.10009765625
2020-12-11,119.1603012084961,46.221954345703125,204.6314697265625,12.977479934692383,45.87422180175781,3663.4599609375
2020-12-14,118.5470199584961,46.15263748168945,205.53343200683594,13.272167205810547,45.45292282104492,3647.489990234375
2020-12-15,124.48507690429688,46.646484375,205.4662628173828,13.323774337768555,45.431068420410156,3694.6201171875
2020-12-16,124.41696166992188,45.97069549560547,210.40786743164062,13.206098556518555,45.38426208496094,3701.169921875
2020-12-17,125.28331756591797,46.15263748168945,210.5421905517578,13.304574966430664,45.593345642089844,3722.47998046875
2020-12-18,123.29747009277344,46.559852600097656,209.74578857421875,13.235518455505371,45.546539306640625,3709.409912109375
2020-12-21,124.82579040527344,45.75410461425781,213.58395385742188,13.295602798461914,45.55278396606445,3694.919921875
2020-12-22,128.37889099121094,45.71077346801758,214.87933349609375,13.241752624511719,45.00041580200195,3687.260009765625
2020-12-23,127.4832763671875,45.988037109375,212.07749938964844,12.973491668701172,44.69458770751953,3690.010009765625
2020-12-24,128.46649169921875,46.2999267578125,213.73748779296875,12.958030700683594,44.78196716308594,3703.06005859375
2020-12-28,133.06121826171875,46.923736572265625,215.8581085205078,12.86453914642334,45.3187255859375,3735.360107421875
2020-12-29,131.28952026367188,46.89773941040039,215.0808563232422,12.907671928405762,45.0316162109375,3727.0400390625
2020-12-30,130.1700439453125,47.16631317138672,212.7107696533203,13.109613418579102,44.99417495727539,3732.0400390625
2020-12-31,129.1674041748047,47.51287841796875,213.42083740234375,13.019113540649414,44.98482131958008,3756.070068359375
2021-01-04,125.97445678710938,45.71077346801758,208.88221740722656,13.07745361328125,45.7275390625,3700.64990234375
2021-01-05,127.53199005126953,45.20827865600586,209.08372497558594,13.367904663085938,45.484127044677734,3726.860107421875
2021-01-06,123.23905944824219,43.77006912231445,203.662353515625,12.579825401306152,45.768104553222656,3748.139892578125
2021-01-07,127.44436645507812,43.28488540649414,209.45791625976562,13.307319641113281,45.76498794555664,3803.7900390625
2021-01-08,128.5443878173828,44.255252838134766,210.734130859375,13.240254402160645,45.75874710083008,3824.679931640625
2021-01-11,125.55587768554688,43.492828369140625,208.69032287597656,13.584057807922363,45.96470642089844,3799.610107421875
2021-01-12,125.38068389892578,43.41484069824219,206.23388671875,13.447685241699219,46.488983154296875,3801.18994140625
2021-01-13,127.41516876220703,43.458168029785156,207.58682250976562,13.494553565979004,46.0146484375,3809.840087890625
2021-01-14,125.48773956298828,42.65242004394531,204.40118408203125,13.163965225219727,45.86486053466797,3795.5400390625
2021-01-15,123.76471710205078,42.19322967529297,204.04611206054688,12.824150085449219,45.137725830078125,3768.25
2021-01-19,124.43640899658203,42.02861404418945,207.6828155517578,12.989447593688965,44.74763488769531,3798.909912109375
2021-01-20,128.52491760253906,42.17591094970703,215.2631378173828,13.329010009765625,45.409236907958984,3851.85009765625
2021-01-21,133.2364044189453,42.40984344482422,215.8676300048828,13.829380989074707,45.20326614379883,3853.070068359375
2021-01-22,135.37802124023438,42.011295318603516,216.80799865722656,13.674806594848633,45.66512680053711,3841.469970703125
2021-01-25,139.12576293945312,42.26254653930664,220.24319458007812,13.615720748901367,45.624549865722656,3855.360107421875
2021-01-26,139.35943603515625,42.70440673828125,222.9298858642578,13.398320198059082,46.03335952758789,3849.6201171875
2021-01-27,138.2886199951172,42.04594802856445,223.476806640625,12.882241249084473,44.88807678222656,3750.77001953125
2021-01-28,133.45059204101562,42.5831184387207,229.26283264160156,13.015125274658203,44.859989166259766,3787.3798828125
2021-01-29,128.45677185058594,41.71672058105469,222.57485961914062,12.954042434692383,43.842647552490234,3714.239990234375
2021-02-01,130.57888793945312,42.00262451171875,229.95372009277344,13.200616836547852,43.4619140625,3773.860107421875
2021-02-02,131.40634155273438,42.41849899291992,229.81935119628906,13.519487380981445,43.93001937866211,3826.31005859375
2021-02-03,130.38418579101562,42.25389099121094,233.16815185546875,13.493306159973145,44.064212799072266,3830.169921875
2021-02-04,133.74258422851562,42.461814880371094,232.21823120117188,13.626688957214355,44.47925567626953,3871.739990234375
2021-02-05,133.3282928466797,43.01630401611328,232.4005584716797,13.553640365600586,45.05034255981445,3886.830078125
2021-02-08,133.47450256347656,43.25023651123047,232.6596221923828,14.39906120300293,45.25944137573242,3915.590087890625
